Manufacturer,CPU Name,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),Weight (kg),Battery,Price (VND)
asus,AMD Ryzen 9 - 7945HX,AMD,9,7,2.5,32,DDR5,4800,1024,17.3,2560x1440,240,3.0,90.0,90000000
asus,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,4800,512,14.0,2880x1800,90,1.5,75.0,33990000
asus,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,8,LPDDR5,4800,512,14.0,2880x1800,90,1.39,75.0,25490000
asus,Intel Core i9 Raptor Lake - 13900H,Intel,9,13,2.6,16,DDR4,3200,512,15.6,1920x1080,144,2.2,90.0,40990000
asus,Intel Core i7 Raptor Lake - 13650HX,Intel,7,13,2.6,16,DDR5,4800,512,16.0,1920x1200,165,2.5,90.0,43990000
asus,Intel Core i9 Raptor Lake - 13980HX,Intel,9,13,2.2,64,DDR5,4800,2048,18.0,2560x1600,240,3.1,90.0,125000000
asus,AMD Ryzen 9 - 7945HX,AMD,9,7,2.5,32,DDR5,4800,1024,16.0,2560x1600,240,2.67,90.0,125000000
asus,Intel Core i9 Raptor Lake - 13980HX,Intel,9,13,2.2,32,DDR5,4800,1024,16.0,2560x1600,240,2.5,90.0,95000000
asus,Intel Core i9 Alder Lake - 12900H,Intel,9,12,2.5,32,DDR5,4800,1024,15.6,2560x1440,240,2.3,90.0,69990000
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,LPDDR5,4800,1024,14.0,2880x1800,90,0.99,63.0,49990000
asus,Intel Core i7 Raptor Lake - 13650HX,Intel,7,13,2.6,16,DDR5,4800,1024,16.0,2560x1600,240,2.5,90.0,60990000
asus,AMD Ryzen 7 - 7735HS,AMD,7,7,3.2,16,DDR5,4800,512,14.0,1920x1200,144,1.72,76.0,42990000
asus,AMD Ryzen 9 - 7940HS,AMD,9,7,4.0,8,DDR5,4800,512,15.6,1920x1080,144,2.2,90.0,45490000
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,32,LPDDR5,5500,1024,13.3,2880x1800,60,1.0,63.0,44990000
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,LPDDR5,5500,512,13.3,2880x1800,60,1.0,63.0,39990000
asus,Intel Core i5 Raptor Lake - 13450HX,Intel,5,13,2.4,8,DDR5,4800,512,16.0,1920x1200,165,2.5,90.0,37990000
asus,Intel Core i7 Alder Lake - 12650H,Intel,7,12,2.3,8,DDR5,4800,512,15.6,1920x1080,144,2.0,76.0,35990000
asus,AMD Ryzen 7 - 7735HS,AMD,7,7,3.2,16,DDR5,4800,512,15.6,1920x1080,144,2.2,90.0,34490000
asus,Intel Core Ultra 5 METEOR LAKE - 125H,Intel,,,1.2,16,LPDDR5X,5200,512,14.0,2880x1800,120,1.2,75.0,28990000
asus,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,4800,512,14.0,2880x1800,90,1.39,75.0,31990000
asus,Intel Core i7 Alder Lake - 12700H,Intel,7,12,2.3,16,DDR5,4800,512,15.6,1920x1080,144,2.2,90.0,32990000
asus,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,4800,512,14.0,2880x1800,90,1.5,75.0,29990000
