Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
msi,Intel,7,11,4.6,8,DDR4,3200,512,15,1920x1080,144,NVIDIA,1.86,,18690000
msi,AMD,5,7,4.3,8,DDR4,3200,512,14,1920x1080,60,AMD,1.4,39.3,10390000
msi,AMD,7,7,4.5,8,DDR4,3200,512,14,1920x1080,60,AMD,1.4,39.3,12390000
msi,AMD,7,7,4.3,8,DDR4,3200,512,15,1920x1080,60,AMD,1.4,39.3,12890000
msi,Intel,5,12,4.4,8,DDR5,4800,512,15,1920x1080,144,Intel,1.98,53.5,16990000
msi,AMD,5,5,4.2,8,DDR4,3200,512,15,1920x1080,144,AMD,2.35,,16990000
msi,AMD,5,7,4.3,8,DDR4,3200,512,15,1920x1080,60,AMD,1.4,39.3,10990000
msi,Intel,5,12,4.4,8,DDR4,,512,15,1920x1080,144,NVIDIA,1.86,,15990000
msi,Intel,7,13,4.9,16,DDR5,5200,1024,15,1920x1080,144,Intel,2.25,53.5,29490000
msi,AMD,5,7,4.3,16,DDR4,3200,512,15,1920x1080,60,AMD,1.4,39.3,13990000
msi,Intel,7,12,4.7,8,DDR5,4800,512,15,1920x1080,144,Intel,1.98,,23790000
msi,AMD,7,7,4.3,16,DDR4,3200,512,15,1920x1080,60,AMD,1.4,42,15990000
msi,Intel,5,12,4.4,16,DDR4,3200,512,14,1920x1080,60,Intel,1.4,,13490000
msi,Intel,5,12,4.4,16,DDR4,3200,512,15,1920x1080,60,Intel,1.7,,12990000
msi,Intel,5,13,4.6,8,DDR4,3200,512,14,1920x1080,60,Intel,1.4,39.3,15490000
msi,Intel,7,13,4.9,8,DDR5,5200,512,15,1920x1080,144,NVIDIA,2.29,,24990000
msi,Intel,5,13,4.6,8,DDR4,3200,512,15,1920x1080,60,Intel,1.7,,15490000
msi,AMD,5,5,4.3,8,DDR4,3200,512,14,1920x1080,60,AMD,1.4,39.3,10490000
