Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
acer,Intel,5,12450,4.0,8,DDR5,,512,15.0,1920 x 1080,144,Intel,2.0,4,23990000
acer,Intel,5,11320,4.0,16,LPDDR4,,512,16.0,1920 x 1080,60,NVIDIA,1.0,,24990000
acer,Intel,5,12450,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,2.0,,21490000
msi,Intel,5,11400,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,1.0,,14490000
msi,Intel,5,12450,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,Intel,1.0,52,20490000
acer,Intel,5,13420,4.0,16,LPDDR5,5200,512,15.0,1920 x 1080,144,Intel,2.0,,27990000
msi,Intel,5,12450,4.0,16,DDR4,3200,512,15.0,1920 x 1080,144,Intel,1.0,,17990000
msi,Intel,7,11800,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,NVIDIA,1.0,,18690000
msi,AMD,5,7530,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,AMD,1.0,39,10390000
msi,AMD,7,7730,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,AMD,1.0,39,12390000
msi,AMD,7,7730,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,39,12890000
msi,Intel,5,12450,4.0,8,DDR5,4800,512,15.0,1920 x 1080,144,,1.0,53,16990000
msi,AMD,5,5600,4.0,8,DDR4,3200,512,15.0,1920 x 1080,144,AMD,2.0,,16990000
msi,AMD,5,7530,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,39,10990000
msi,Intel,5,12450,4.0,8,DDR4,,512,15.0,1920 x 1080,144,NVIDIA,1.0,,15990000
msi,Intel,7,13620,4.0,16,DDR5,5200,1,15.0,1920 x 1080,144,Intel,2.0,53,29490000
msi,AMD,5,7530,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,39,13990000
msi,Intel,7,12650,4.0,8,DDR5,4800,512,15.0,1920 x 1080,144,Intel,1.0,,23790000
msi,AMD,7,7730,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,3,15990000
msi,Intel,5,1235,4.0,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,,13490000
msi,Intel,5,1235,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,,12990000
msi,Intel,5,1335,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,39,15490000
msi,Intel,7,13620,4.0,8,DDR5,5200,512,15.0,1920 x 1080,144,NVIDIA,2.0,,24990000
msi,Intel,5,1335,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,,15490000
msi,AMD,5,5625,43.0,8,DDR4,3200,512,14.0,1920 x 1080,60,AMD,1.0,393,10490000
msi,Intel,5,1335,4.0,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,,16490000
msi,Intel,7,13700,5.0,16,DDR5,5200,512,17.0,2560 x 1440,240,Intel,2.0,,47490000
msi,Intel,7,13700,5.0,32,DDR5,5600,2,16.0,2560 x 1600,240,Intel,2.0,,59990000
msi,Intel,9,12900,5.0,64,DDR5,4800,2,17.0,3840 x 2160,120,Intel,2.0,,89990000
msi,Intel,9,12900,5.0,32,DDR5,4800,512,17.0,2560 x 1440,240,Intel,2.0,,65990000
msi,Intel,5,12450,4.0,16,DDR5,,512,15.0,1920 x 1080,144,NVIDIA,1.0,,17490000
msi,Intel,7,13700,5.0,16,DDR5,5600,2,16.0,2560 x 1600,240,Intel,2.0,,49990000
msi,Intel,7,13700,5.0,32,DDR5,5600,2,16.0,2560 x 1600,120,NVIDIA,2.0,90,68990000
msi,Intel,7,12700,4.0,16,DDR5,4800,1,16.0,2560 x 1600,120,Intel,2.0,,60990000
msi,Intel,7,1355,5.0,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,,19490000
msi,AMD,5,5625,4.0,8,DDR4,3200,512,15.0,1920 x 1080,60,AMD,1.0,39,10990000
msi,Intel,5,1335,4.0,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,,16490000
msi,Intel,7,1255,4.0,16,DDR4,3200,512,15.0,1920 x 1080,60,Intel,1.0,,16190000
msi,Intel,5,1335,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,,15790000
msi,Intel,5,1335,4.0,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.0,,15790000
dell,Intel,5,1235,4.0,8,DDR4,2666,256,15.0,1920 x 1080,120,Intel,1.0,,14990000
dell,Intel,5,1335,4.0,16,DDR4,2666,512,15.0,1920 x 1080,120,NVIDIA,1.0,,20490000
dell,Intel,7,1355,5.0,16,DDR4,3200,512,15.0,1920 x 1080,120,,1.0,,24490000
dell,Intel,7,1355,,16,DDR4,,512,15.0,1920 x 1200,120,Intel,1.0,,23990000
dell,Intel,5,1335,4.0,8,LPDDR5,4800,512,14.0,1920 x 1200,60,Intel,1.0,,22490000
dell,Intel,5,1240,4.0,8,DDR4,,512,16.0,1920 x 1200,60,,1.0,3420,19490000
dell,Intel,7,1255,4.0,8,,,512,15.0,1920 x 1080,120,,1.0,54,19090000
dell,Intel,5,1240,4.0,16,DDR4,3200,512,16.0,1200 x 1920,60,NVIDIA,1.0,54,22990000
dell,Intel,7,1360,,16,LPDDR5,,1,14.0,2560 x 1600,120,,1.0,,32490000
dell,Intel,7,1360,5.0,16,LPDDR5,4800,512,14.0,1920 x 1200,60,,1.0,,30990000
dell,Intel,5,1335,4.0,16,LPDDR5,4800,512,16.0,1920 x 1200,60,Intel,1.0,,25690000
dell,Intel,7,1355,5.0,8,,,512,15.0,1920 x 1080,120,Intel,1.0,54,21990000
dell,Intel,5,1335,,8,DDR4,,512,15.0,1920 x 1200,120,,1.0,,18490000
lg,Intel,7,1360,4.0,16,DDR5,6000,512,16.0,2560 x 1600,120,Intel,2.0,80,41490000
lg,Intel,5,1340,,16,LPDDR5,5200,512,14.0,1920 x 1200,60,Intel,1.0,72,31990000
lg,Intel,7,1360,,16,,,512,14.0,1920 x 1200,60,,1.0,72,33990000
lg,Intel,7,1360,,16,LPDDR5,6000,512,16.0,2560 x 1600,60,NVIDIA,1.0,90,44490000
lg,Intel,5,1340,4.0,16,DDR5,6000,512,14.0,2880 x 1800,90,Intel,1.0,,34490000
